Country,Year,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate,Professional_scientific,Administrative,Education,Human_health,Arts,Other
Cyprus,2013,20450,67,14,23,26,29,7,-6,8,25,32,17,20,24,11,36,10,7,20,60,38
Cyprus,2014,20310,67,14,22,22,28,3,-6,8,23,31,16,14,24,10,35,8,7,14,68,32
Cyprus,2015,21120,66,13,21,35,28,2,-7,7,24,26,16,13,23,-4,34,9,10,13,58,32
Cyprus,2016,22410,66,12,19,29,27,1,-8,4,26,23,16,14,22,-19,32,6,13,15,53,30
Cyprus,2017,23470,66,11,18,34,26,1,-8,2,27,19,17,14,21,-34,31,5,16,16,47,30
Cyprus,2018,24500,66,10,17,42,25,1,-8,0,28,16,17,15,19,-47,29,3,19,17,36,30
Cyprus,2019,25500,66,10,17,43,24,0,-16,-1,27,14,17,15,20,-36,28,4,19,18,36,28
Cyprus,2020,24110,66,9,17,43,23,0,-17,-1,27,14,16,15,20,-31,28,4,18,19,40,28
Cyprus,2021,25480,66,9,16,34,22,0,-18,0,27,14,16,15,20,-41,28,5,18,19,39,27
Czech Republic,2010,15020,73,21,16,22,28,18,-1,6,28,3,8,33,42,21,27,7,21,25,14,19
Czech Republic,2011,15310,73,22,16,22,27,16,2,8,27,1,6,31,44,20,25,9,24,27,11,12
Czech Republic,2012,15170,73,22,15,21,27,17,2,9,26,0,5,31,45,12,27,7,24,29,13,25
Czech Republic,2013,15160,73,22,15,21,27,17,0,10,25,0,5,31,40,15,26,7,25,29,12,26
Czech Republic,2014,15480,73,22,16,16,27,18,1,9,26,0,5,31,41,14,27,6,25,27,13,30
Czech Republic,2015,16290,73,22,16,16,27,16,4,9,27,1,7,32,40,10,24,6,25,27,14,32
Czech Republic,2016,16670,73,21,15,14,25,14,4,12,25,2,5,32,40,12,25,7,24,26,13,29
Czech Republic,2017,17490,73,21,16,16,25,16,7,11,24,3,8,32,39,15,24,9,24,25,13,23
Czech Republic,2018,17990,73,20,15,14,24,17,9,11,22,5,7,31,39,12,25,9,23,25,11,20
Czech Republic,2019,18460,73,19,15,16,24,17,4,9,23,3,9,30,38,9,24,10,22,20,13,14
Czech Republic,2020,17400,74,16,12,14,23,17,3,9,20,3,6,30,38,10,20,14,19,21,12,14
Czech Republic,2021,18020,74,15,12,12,23,17,3,7,21,4,5,28,37,9,21,12,18,20,13,12
Denmark,2010,43840,86,17,17,18,13,21,13,13,21,13,6,20,23,11,24,3,10,13,8,14
Denmark,2011,44240,86,16,18,14,13,18,9,9,22,12,8,18,22,10,23,7,8,10,9,16
Denmark,2012,44170,87,16,17,12,13,21,6,12,19,11,5,19,21,9,23,7,8,10,8,13
Denmark,2013,44410,87,16,17,14,12,21,4,10,20,11,5,17,21,7,22,4,8,9,10,12
Denmark,2014,44890,87,16,16,17,12,22,6,10,19,10,4,18,20,9,21,1,7,10,11,11
Denmark,2015,45630,87,15,15,17,11,20,3,10,18,10,3,17,20,9,20,3,5,9,9,9
Denmark,2016,46720,87,15,16,20,10,19,1,9,19,10,5,17,19,10,20,2,5,9,9,11
Denmark,2017,47740,87,14,15,21,10,19,3,10,18,8,5,17,18,9,19,1,5,10,9,10
Denmark,2018,48450,87,14,14,17,10,18,3,9,17,7,5,16,18,7,19,0,5,10,10,11
Denmark,2019,48970,87,14,14,17,10,16,4,7,16,7,4,15,17,9,18,1,5,9,9,9
Denmark,2020,47890,88,13,14,17,9,14,2,7,16,9,4,15,18,10,18,1,5,8,9,8
Denmark,2021,50010,88,14,14,13,8,15,2,9,16,9,4,16,16,8,17,0,5,8,9,8
Estonia,2010,11060,68,27,28,36,31,21,18,19,37,14,23,29,43,22,18,16,23,34,22,30
Estonia,2011,11890,67,27,27,34,31,20,15,19,37,11,20,23,41,28,23,9,25,32,19,14
Estonia,2012,12320,67,29,29,37,33,21,11,22,38,8,24,30,44,19,20,22,25,32,28,12
Estonia,2013,12540,68,29,30,38,33,22,12,23,38,9,25,30,45,17,21,24,26,33,28,18
Estonia,2014,12960,68,28,29,24,30,17,13,17,37,14,20,27,42,28,20,26,22,32,20,22
Estonia,2015,13230,68,26,27,32,30,17,12,19,37,4,14,25,35,14,25,11,21,28,19,7
Estonia,2016,13620,68,24,25,36,30,15,11,16,32,2,20,26,34,15,21,20,18,27,18,-2
Estonia,2017,14410,68,24,26,30,29,14,7,17,30,9,17,25,40,12,28,13,15,28,17,-5
Estonia,2018,14920,68,21,24,29,28,14,7,13,31,6,13,25,33,16,16,16,15,29,19,11
Estonia,2019,15410,69,21,23,27,25,16,7,13,32,2,11,25,29,14,11,18,17,24,19,19
Estonia,2020,15280,69,21,23,26,22,11,7,8,30,0,12,26,31,9,14,18,17,26,17,11
Estonia,2021,16490,69,20,22,16,23,9,10,15,31,0,6,23,31,17,15,18,17,25,16,12
Finland,2010,35080,83,20,19,16,14,20,7,7,22,14,12,15,36,19,18,15,15,29,10,20
Finland,2011,35810,84,19,18,7,13,17,7,7,22,10,11,14,35,19,17,14,16,28,10,20
Finland,2012,35140,84,19,18,10,12,15,7,6,23,10,11,13,35,19,16,13,15,27,8,20
Finland,2013,34660,85,18,18,5,12,15,6,5,22,10,11,13,35,18,16,13,15,26,11,19
Finland,2014,34390,85,18,17,5,11,15,4,5,20,9,10,12,34,18,16,11,15,25,9,18
Finland,2015,34460,85,17,17,13,10,15,3,3,20,8,9,13,32,20,15,12,15,25,9,17
Finland,2016,35330,85,17,17,15,9,17,1,3,21,9,8,12,32,17,15,12,13,23,9,16
Finland,2017,36380,85,17,16,18,9,17,3,3,20,8,9,13,30,18,14,12,12,22,9,15
Finland,2018,36740,85,16,16,14,8,17,2,3,20,7,10,12,30,17,14,12,12,20,10,16
Finland,2019,37150,85,16,15,9,8,18,2,1,19,7,10,13,28,17,15,11,11,20,11,15
Finland,2020,36220,85,16,16,12,9,17,5,1,19,6,10,12,27,17,14,12,11,19,11,14
Finland,2021,37250,85,16,15,13,9,17,3,3,19,6,9,11,26,18,14,10,12,19,10,15
France,2010,30690,78,15,15,13,16,11,-11,-9,22,2,10,17,30,21,24,9,13,18,16,11
France,2011,31210,78,15,14,12,15,9,-6,-8,19,0,9,15,29,19,23,8,13,16,19,13
France,2012,31160,78,15,13,13,15,10,-3,-7,18,1,9,14,30,15,23,9,14,16,22,15
France,2013,31170,79,15,13,15,15,12,0,-6,17,0,8,13,30,13,23,9,15,16,26,16
France,2014,31320,79,15,12,15,14,13,3,-5,15,0,7,12,30,11,23,10,17,15,30,18
France,2015,31540,79,15,13,14,14,11,2,-6,16,0,7,12,30,12,22,8,17,15,28,16
France,2016,31770,79,15,13,15,14,11,0,-7,18,1,7,13,31,13,23,7,16,16,27,14
France,2017,32360,80,16,14,16,14,11,0,-8,19,2,8,14,31,13,23,6,16,17,25,11
France,2018,32800,80,16,14,17,14,10,-1,-9,20,3,8,15,32,14,23,5,16,18,23,9
France,2019,33250,80,16,13,14,14,9,-1,-9,19,2,8,15,31,14,22,5,16,19,23,10
France,2020,30550,80,15,13,16,13,9,-2,-9,19,1,8,14,30,14,22,6,15,17,22,8
France,2021,32530,81,15,12,16,13,8,-2,-9,18,1,7,14,31,13,21,5,15,17,22,8
Germany,2010,31940,76,22,25,12,27,21,4,12,25,3,12,28,30,20,33,12,9,24,27,24
Germany,2011,33200,77,22,25,9,27,21,5,13,24,5,12,28,30,17,32,12,10,24,28,25
Germany,2012,33280,77,22,26,7,26,21,3,15,25,7,11,28,29,17,33,12,10,24,26,24
Germany,2013,33330,77,22,25,4,26,21,4,13,24,5,10,27,29,17,31,14,11,23,29,21
Germany,2014,33920,77,22,25,0,26,21,4,13,24,5,10,26,28,16,31,14,12,23,29,23
Germany,2015,34130,77,21,25,1,25,22,4,12,22,6,9,25,27,14,30,14,11,22,31,20
Germany,2016,34610,77,21,24,2,24,21,5,10,21,5,9,25,26,16,30,13,11,23,28,18
Germany,2017,35410,77,20,23,6,24,21,4,9,22,4,8,25,25,13,29,13,10,23,30,17
Germany,2018,35650,77,20,23,7,23,20,3,10,22,4,8,25,24,16,29,14,10,24,29,16
Germany,2019,35950,77,19,22,9,22,20,3,11,21,4,6,24,24,17,27,14,10,24,29,13
Germany,2020,34590,77,18,21,7,21,19,2,10,20,5,8,23,23,15,27,14,10,23,30,13
Germany,2021,35480,77,17,20,7,21,19,2,11,19,5,7,23,23,15,26,14,10,23,29,12
Hungary,2010,9980,68,17,15,-12,26,17,-1,-11,15,4,12,24,38,14,14,5,20,16,3,14
Hungary,2011,10190,69,18,14,-18,25,17,0,-12,11,0,20,27,37,3,14,11,17,16,12,5
Hungary,2012,10120,69,20,15,-13,26,18,-2,-12,15,0,15,28,38,-1,12,6,19,16,16,13
Hungary,2013,10330,69,18,13,-26,23,16,2,-12,14,-3,15,25,38,3,13,9,36,16,16,10
Hungary,2014,10790,70,15,14,-9,22,7,-5,-17,19,-2,16,24,36,7,12,8,13,15,18,7
Hungary,2015,11220,70,14,12,9,19,16,-6,-18,16,-4,13,22,23,0,12,7,11,16,15,23
Hungary,2016,11500,70,14,14,-22,22,15,1,-11,20,-6,18,20,34,10,17,5,14,16,21,8
Hungary,2017,12020,71,15,16,5,23,19,5,-3,17,-2,13,26,38,25,18,10,9,9,19,21
Hungary,2018,12690,71,14,15,16,22,19,0,-6,14,-2,12,21,33,9,21,16,9,11,19,18
Hungary,2019,13310,71,18,15,2,22,20,10,-2,16,-4,11,23,36,7,17,7,12,-4,34,16
Hungary,2020,12730,71,17,15,0,23,20,2,-3,16,-6,13,25,36,12,22,6,11,-6,28,15
Hungary,2021,13690,72,17,16,-1,24,18,0,-4,16,-3,11,24,34,5,19,8,18,10,27,22
Italy,2010,26940,68,5,15,-15,16,8,4,0,15,3,12,17,21,25,21,8,12,28,20,21
Italy,2011,27030,68,5,15,9,16,11,2,0,15,2,10,19,22,13,28,8,11,24,17,17
Italy,2012,26160,68,6,17,9,17,11,2,0,20,5,10,19,23,13,23,8,8,28,17,17
Italy,2013,25620,68,7,18,9,18,11,2,0,18,6,10,19,24,13,28,8,6,28,17,17
Italy,2014,25620,69,6,17,6,17,11,4,9,17,6,8,18,22,27,25,10,7,28,61,13
Italy,2015,25860,69,5,17,9,15,11,2,0,16,6,12,17,22,13,29,13,11,30,17,10
Italy,2016,26240,69,5,16,9,16,11,2,0,16,7,8,18,18,13,28,9,11,28,17,6
Italy,2017,26730,70,5,15,9,16,11,2,0,15,5,7,18,18,13,29,8,11,27,17,7
Italy,2018,27030,70,5,15,2,15,11,4,7,16,9,9,15,23,14,25,9,7,22,17,11
Italy,2019,27230,70,4,14,0,14,11,4,7,15,9,8,15,22,12,24,7,7,22,58,11
Italy,2020,24910,71,4,13,-2,13,11,1,5,16,8,9,14,22,13,26,7,7,21,68,10
Italy,2021,26780,71,5,13,-5,13,10,0,3,15,6,8,15,23,12,23,4,8,21,62,10
Latvia,2010,8550,67,15,17,12,18,17,11,2,26,14,23,25,37,7,13,6,0,11,11,41
Latvia,2011,8940,67,14,14,9,18,21,14,0,21,8,21,20,33,10,9,11,2,11,12,30
Latvia,2012,9680,67,14,14,17,20,21,15,0,23,8,21,16,35,13,11,14,1,16,11,16
Latvia,2013,9980,67,16,14,21,20,20,19,0,23,5,14,14,30,15,12,15,2,21,8,17
Latvia,2014,10270,67,17,16,21,20,21,15,1,24,5,14,10,34,19,16,14,2,22,8,17
Latvia,2015,10760,67,18,16,18,19,16,14,4,25,6,16,15,30,17,17,11,6,22,21,11
Latvia,2016,11110,68,19,18,28,20,12,16,8,24,11,20,23,28,16,14,16,5,19,20,9
Latvia,2017,11590,68,19,20,30,20,5,18,4,30,10,15,29,34,10,24,14,3,18,25,10
Latvia,2018,12140,68,19,19,12,20,5,13,3,27,11,13,28,33,14,15,23,14,19,20,10
Latvia,2019,12540,68,21,21,20,22,1,16,5,27,13,24,31,32,18,27,26,18,21,24,20
Latvia,2020,12340,68,22,23,29,25,6,17,12,26,11,27,33,35,19,30,25,14,22,29,17
Latvia,2021,12970,68,14,19,27,21,2,17,5,24,9,16,31,30,18,24,19,11,19,30,23
Lithuania,2010,9050,66,11,18,1,30,16,10,-9,18,4,14,25,44,13,15,14,-1,21,12,34
Lithuania,2011,9820,66,11,16,2,27,10,13,0,19,-1,14,25,40,15,15,10,-1,24,15,22
Lithuania,2012,10330,66,11,17,3,26,10,14,0,20,-2,11,26,40,15,14,12,0,28,13,23
Lithuania,2013,10810,66,12,16,6,26,9,15,-1,22,-3,9,27,39,15,19,12,0,28,12,18
Lithuania,2014,11290,67,13,17,4,25,10,16,2,22,-4,12,28,39,15,17,13,3,31,11,20
Lithuania,2015,11620,67,14,18,5,26,10,15,3,24,-7,14,30,37,14,18,13,2,33,13,18
Lithuania,2016,12070,67,14,18,6,25,10,14,2,26,-7,14,31,35,13,17,12,2,28,13,14
Lithuania,2017,12760,67,15,16,7,24,10,14,1,23,-10,13,29,34,12,19,10,0,26,12,9
Lithuania,2018,13400,67,14,16,6,24,9,12,-1,23,-12,16,29,32,13,21,9,1,25,14,7
Lithuania,2019,14060,67,13,15,3,24,9,11,-2,23,-10,13,30,36,14,17,14,2,26,12,14
Lithuania,2020,14050,68,13,15,3,24,8,10,-1,23,-3,13,28,33,12,15,10,2,27,10,12
Lithuania,2021,14820,68,12,14,4,24,7,10,-1,22,-5,15,29,34,9,17,8,2,27,10,9
Luxembourg,2010,83550,88,8,13,-4,16,5,-21,-7,27,7,17,17,26,25,21,15,6,5,19,17
Luxembourg,2011,82490,88,7,13,9,15,2,-17,-6,25,8,16,19,25,23,22,13,6,4,18,22
Luxembourg,2012,81940,89,7,14,9,15,0,-14,-4,23,8,16,19,24,22,22,14,5,2,16,26
Luxembourg,2013,82400,89,6,13,9,15,-1,-9,-1,21,5,13,20,23,23,23,14,4,1,14,29
Luxembourg,2014,82590,89,5,14,9,16,-2,-6,0,21,5,12,19,22,23,24,13,3,0,15,34
Luxembourg,2015,82820,90,4,13,11,14,0,3,-2,21,6,12,19,23,20,24,13,3,0,9,30
Luxembourg,2016,84750,90,3,13,11,12,2,12,-4,21,7,12,19,24,18,24,12,3,0,3,28
Luxembourg,2017,84020,90,2,12,6,11,3,12,-6,19,6,11,18,24,16,24,11,3,0,-3,27
Luxembourg,2018,83390,90,1,11,9,11,11,3,-8,18,5,12,17,25,14,23,10,3,0,-11,25
Luxembourg,2019,83590,91,1,11,9,10,11,2,-8,18,4,11,17,24,14,21,10,3,1,-10,23
Luxembourg,2020,81660,91,0,10,9,10,11,0,-11,18,3,12,16,23,16,21,12,3,0,-11,21
Luxembourg,2021,84490,91,0,9,9,8,11,-3,-13,18,2,11,15,23,23,21,12,3,0,-16,19
Malta,2010,16440,94,7,15,26,14,6,-3,7,29,10,16,11,30,44,8,8,-3,12,27,9
Malta,2011,16450,94,7,15,26,16,13,0,0,27,8,14,12,29,24,9,13,0,13,21,3
Malta,2012,16970,94,9,15,8,17,15,2,-2,24,9,14,15,28,19,13,13,4,15,19,2
Malta,2013,17650,94,9,14,2,18,11,5,-3,22,8,13,17,28,18,17,14,9,16,17,1
Malta,2014,18610,94,10,14,-9,18,11,11,-6,18,8,12,18,27,14,21,16,13,17,15,-1
Malta,2015,19920,94,10,15,-7,21,11,15,-3,18,8,13,18,30,23,25,14,11,18,20,9
Malta,2016,20130,94,11,15,1,22,11,15,1,17,9,15,17,29,28,27,13,12,18,18,14
Malta,2017,21700,94,13,16,1,22,11,18,-7,17,12,12,18,27,18,25,12,11,18,12,22
Malta,2018,22250,94,13,16,28,23,11,19,4,16,11,9,15,26,23,25,16,12,21,10,32
Malta,2019,22890,94,11,14,26,23,11,19,4,15,10,9,15,25,23,24,16,11,19,9,31
Malta,2020,20470,94,10,13,21,23,11,20,3,16,8,7,15,24,29,22,15,8,20,10,34
Malta,2021,22760,94,10,14,19,23,11,20,2,16,11,8,15,24,25,23,15,8,20,9,32
Netherlands,2010,38470,87,17,17,27,18,49,15,17,17,18,20,17,23,11,17,15,21,16,18,27
Netherlands,2011,38880,87,18,23,29,22,23,4,16,27,14,12,18,30,20,27,11,13,24,22,17
Netherlands,2012,38340,88,18,23,35,22,22,4,16,26,14,10,17,30,20,26,12,13,23,19,16
Netherlands,2013,38180,89,17,24,34,22,22,7,16,25,15,9,15,29,20,26,12,13,22,19,17
Netherlands,2014,38580,89,17,24,39,23,22,7,16,24,16,7,16,30,20,26,11,13,21,17,18
Netherlands,2015,39170,90,16,22,19,19,18,5,13,25,11,11,18,29,17,24,10,11,21,19,17
Netherlands,2016,39810,90,15,22,18,19,17,7,13,26,10,10,17,30,17,23,9,11,20,16,16
Netherlands,2017,40730,91,15,23,15,19,15,10,13,25,12,9,17,30,18,23,9,10,19,14,14
Netherlands,2018,41450,91,14,23,15,19,15,12,13,24,14,8,17,29,18,22,9,9,18,12,13
Netherlands,2019,41980,91,14,20,15,17,11,-1,9,24,10,11,16,25,16,20,8,8,19,20,13
Netherlands,2020,40130,92,14,19,17,17,10,-1,8,24,9,10,15,25,16,20,8,7,19,20,12
Netherlands,2021,41860,92,13,19,15,16,10,0,8,23,10,11,15,24,15,19,8,6,18,20,12
Norway,2010,66580,79,16,19,12,13,11,0,3,18,12,9,16,31,18,22,9,8,12,11,20
Norway,2011,66440,79,15,18,10,12,9,0,2,18,11,8,17,31,15,22,8,8,12,11,20
Norway,2012,67350,79,14,17,9,13,9,-2,0,18,10,8,16,29,16,21,7,7,11,13,20
Norway,2013,67220,80,15,17,8,12,7,0,1,17,12,7,14,29,13,21,8,8,11,13,21
Norway,2014,67830,80,14,17,11,12,9,-2,1,17,10,8,15,29,17,20,8,7,10,11,21
Norway,2015,68390,81,16,18,12,12,11,-3,-5,18,11,9,14,31,18,21,8,8,9,8,15
Norway,2016,68580,81,14,16,9,11,11,-3,-8,18,10,9,11,29,18,20,6,9,9,10,16
Norway,2017,69720,81,13,15,8,10,12,-2,-11,17,9,9,9,29,15,19,5,10,9,11,18
Norway,2018,69840,82,13,14,6,9,10,-4,-14,17,8,8,7,28,15,18,5,10,9,11,21
Norway,2019,70150,82,13,16,5,10,8,-5,0,17,9,6,14,27,20,18,9,5,8,7,11
Norway,2020,68850,82,13,15,5,9,8,-4,0,17,7,7,13,25,13,17,10,5,8,7,10
Norway,2021,71150,83,14,17,8,11,9,-2,1,18,9,7,13,25,23,18,12,5,8,7,10
Poland,2010,9320,60,4,16,20,20,9,1,-10,26,-3,27,24,38,12,17,0,1,17,11,18
Poland,2011,9790,60,5,15,20,21,8,1,-10,25,-3,19,23,37,13,18,1,1,19,10,24
Poland,2012,9940,60,6,15,21,21,7,0,-10,24,-3,11,22,36,13,19,2,1,20,8,30
Poland,2013,10030,60,7,16,21,21,4,0,-10,26,-3,11,24,36,14,19,0,3,19,9,30
Poland,2014,10420,60,7,17,21,20,1,0,-11,28,-2,11,25,36,14,19,0,5,17,9,30
Poland,2015,10890,60,7,16,18,20,3,-2,-13,27,-3,12,25,33,11,16,0,5,15,10,31
Poland,2016,11220,60,7,14,15,20,5,-4,-15,26,-4,12,25,30,7,14,1,5,13,11,32
Poland,2017,11800,60,7,14,15,20,6,-4,-15,25,-4,12,25,30,8,14,1,5,13,11,33
Poland,2018,12500,60,8,15,20,18,5,0,-8,24,-5,9,28,30,7,19,0,5,12,8,28
Poland,2019,13070,60,6,13,17,17,4,0,-9,23,-5,8,27,30,6,18,0,5,13,7,26
Poland,2020,12810,60,4,12,15,16,3,-1,-9,22,-5,7,27,30,6,18,0,5,14,6,23
Poland,2021,13760,60,4,12,15,16,3,-1,-9,22,-5,7,27,30,6,18,0,5,14,6,23
Portugal,2010,16990,60,12,22,-12,33,13,-5,-20,23,-18,29,13,25,35,12,22,12,35,57,21
Portugal,2011,16720,61,12,20,-15,28,2,-12,-12,20,-17,21,14,25,36,23,21,11,30,52,20
Portugal,2012,16110,61,15,21,-18,31,1,-5,-9,20,-20,20,12,22,27,23,23,11,28,40,28
Portugal,2013,16050,62,13,21,-21,30,3,-6,-11,20,-23,19,10,22,17,17,25,10,27,29,29
Portugal,2014,16260,62,14,22,-26,30,0,-7,-5,20,-22,17,10,21,16,16,27,10,26,26,30
Portugal,2015,16620,63,16,20,-17,29,5,-15,-7,21,-18,18,11,22,14,19,22,12,27,41,29
Portugal,2016,17010,64,13,19,-16,27,7,-21,-6,21,-18,17,11,21,11,19,19,13,27,40,30
Portugal,2017,17650,64,10,17,-8,25,3,-27,-9,17,-19,15,11,20,7,19,11,15,26,40,30
Portugal,2018,18190,65,8,15,-4,23,0,-33,-10,17,-19,16,11,19,2,18,8,18,25,38,31
Portugal,2019,18670,65,10,15,-11,23,3,-14,-8,15,-6,13,14,20,19,16,8,17,28,53,17
Portugal,2020,17100,66,11,15,-11,23,3,-13,-10,15,-7,15,15,21,17,15,11,17,28,57,20
Portugal,2021,18060,66,11,15,-8,22,2,-11,-8,15,-6,14,17,22,20,15,11,17,28,54,22
Romania,2010,6340,53,8,6,-13,22,1,-5,-20,12,1,7,9,17,11,0,-21,11,8,6,29
Romania,2011,6650,53,9,7,-11,21,0,0,-20,10,3,5,12,21,18,2,-26,10,9,7,24
Romania,2012,6810,53,6,5,-12,21,-1,-2,-20,10,-3,5,13,17,8,-1,-32,7,6,9,22
Romania,2013,6860,53,4,5,-9,20,-2,-11,-24,7,-5,3,17,21,3,1,-31,7,9,7,17
Romania,2014,7160,53,4,5,-9,19,0,-5,-26,9,-8,4,16,20,0,1,-30,3,8,4,13
Romania,2015,7420,53,5,6,-10,18,2,-1,-24,12,-9,5,20,24,4,1,-27,1,8,14,17
Romania,2016,7680,53,4,7,-12,19,3,0,-21,12,-7,5,19,30,9,0,-27,8,10,17,20
Romania,2017,8360,53,2,7,-7,20,5,2,-22,10,-4,6,20,29,10,3,-23,7,12,15,20
Romania,2018,8910,54,2,10,-2,22,9,1,-19,14,-4,7,22,32,1,5,-21,5,12,15,22
Romania,2019,9300,54,3,11,-15,22,8,3,-10,12,-4,9,26,32,0,3,-20,6,13,14,21
Romania,2020,9020,54,2,10,-19,20,1,2,-15,13,0,5,21,30,1,-1,-22,8,9,9,17
